ngram,count
kov,115
sky,90
nov,55
nko,53
vsk,49
enk,45
kin,42
ovs,42
che,38
rov,34
iko,34
ich,30
hin,29
aev,27
akh,27
lin,26
ano,26
hov,26
hev,26
lov,25
ovi,23
vic,23
tov,22
ikh,21
bak,21
han,21
kho,20
hen,20
zhi,19
she,19
nik,18
kha,17
tsk,17
yan,17
cha,17
chi,17
tse,16
nsk,16
sch,16
mar,15
off,15
har,15
sov,14
ali,14
len,14
ukh,14
man,14
zha,14
ino,14
yak,14
ako,14
ets,13
olo,13
shi,13
hal,13
ins,13
ili,13
art,13
tch,13
lev,13
rko,13
tin,13
zhe,13
sha,13
rev,13
jan,12
nts,12
din,12
evs,12
hik,12
oro,12
gin,12
ala,12
ver,12
ant,11
mov,11
ash,11
min,11
vin,11
ere,11
van,11
ush,11
ero,11
her,11
nki,10
lik,10
ono,10
chu,10
uko,10
tza,10
aro,10
shk,10
hki,10
ser,10
ber,10
alo,10
hak,10
mik,9
iev,9
gov,9
imo,9
uno,9
aki,9
nch,9
dub,9
ski,9
aku,9
sev,9
nev,9
kal,9
dzh,9
bab,9
eli,9
are,9
khi,9
dov,8
hai,8
bae,8
khm,8
ham,8
por,8
evi,8
aga,8
ani,8
zhu,8
bel,8
yuk,8
mak,8
ank,8
hel,8
okh,8
hon,8
lya,8
vil,8
gor,8
ale,8
nur,7
nin,7
sen,7
huk,7
val,7
hte,7
bro,7
gul,7
rin,7
ove,7
its,7
bai,7
elo,7
aba,7
ave,7
gra,7
rch,7
baz,7
ahi,7
zov,7
ats,7
ran,7
ail,6
and,6
kar,6
pov,6
obo,6
och,6
vai,6
bat,6
tal,6
bag,6
jak,6
gla,6
ler,6
ten,6
ent,6
gri,6
oho,6
atz,6
hir,6
sai,6
ots,6
rus,6
lot,6
ilo,6
sko,6
iki,6
vel,6
hil,6
dja,6
bah,6
uto,6
eev,6
ach,6
dze,6
bal,6
ruk,6
uli,6
ade,6
uho,6
khn,6
kat,6
gal,6
uro,5
udo,5
dar,5
rem,5
ada,5
abl,5
ast,5
sin,5
ito,5
aso,5
son,5
abr,5
tim,5
ima,5
ink,5
bek,5
ekh,5
hma,5
aid,5
ile,5
hav,5
onk,5
uhi,5
ter,5
mat,5
tok,5
ato,5
kev,5
gun,5
mol,5
ota,5
lae,5
int,5
zal,5
ago,5
rsk,5
ish,5
ros,5
mut,5
syu,5
pon,5
ark,5
ori,5
end,5
hko,5
hek,5
hol,5
agi,5
lad,5
adz,5
nto,5
abe,5
gro,5
sel,5
uzh,5
rok,5
ert,5
gan,5
las,5
ele,5
gud,5
aik,5
rai,5
zho,5
bov,5
yzh,5
vit,5
ily,5
aza,5
nya,5
kub,5
awe,5
wer,5
let,5
erk,5
lim,5
tun,4
ble,4
sim,4
aka,4
pol,4
oli,4
bol,4
lon,4
hit,4
ram,4
mch,4
leb,4
agm,4
kim,4
dan,4
pri,4
iva,4
lih,4
avi,4
jil,4
dro,4
ulo,4
ron,4
rah,4
lsk,4
yuh,4
zin,4
atu,4
tul,4
kih,4
ren,4
ubr,4
ule,4
iro,4
tzk,4
vet,4
rie,4
tug,4
nsh,4
ary,4
oti,4
eko,4
lob,4
bor,4
hot,4
isa,4
agu,4
tik,4
lut,4
mah,4
vas,4
ibe,4
hul,4
nde,4
der,4
hmu,4
bas,4
ela,4
hiv,4
rty,4
tyu,4
zas,4
urk,4
reb,4
bko,4
utd,4
tdi,4
oni,4
jer,4
tso,4
yko,4
kof,4
ych,4
hti,4
ruz,4
hni,4
kht,4
ans,4
erg,4
ved,4
isc,4
aks,4
nof,4
bad,4
jin,4
laz,4
nen,4
hvi,4
den,4
hno,4
chk,4
azh,4
glu,4
pen,4
uba,4
rma,4
imi,4
ivi,4
ara,4
ama,4
zar,4
pik,4
yag,4
oga,4
uti,4
ryz,4
nos,4
bin,4
bir,4
okr,3
uso,3
vya,3
tur,3
mya,3
ann,3
nni,3
les,3
esi,3
sto,3
dog,3
ras,3
nas,3
bra,3
hle,3
avl,3
vle,3
oev,3
ain,3
idi,3
atc,3
hae,3
juk,3
alk,3
lko,3
gme,3
ida,3
roz,3
dul,3
tol,3
buh,3
aha,3
inc,3
itn,3
tni,3
mus,3
lni,3
muk,3
age,3
itc,3
his,3
iha,3
ire,3
eni,3
rat,3
ows,3
wsk,3
iht,3
ogi,3
gil,3
gas,3
azy,3
bau,3
lys,3
irk,3
aig,3
igi,3
ens,3
ein,3
ysh,3
oru,3
rod,3
odo,3
tar,3
ams,3
lag,3
isk,3
ovo,3
enn,3
nny,3
rta,3
tas,3
zky,3
ole,3
vro,3
osh,3
hom,3
ahl,3
hla,3
omi,3
lib,3
jev,3
uga,3
rib,3
kee,3
him,3
yus,3
liv,3
lud,3
afa,3
fel,3
eld,3
ern,3
str,3
zhn,3
jur,3
iri,3
onc,3
ang,3
hab,3
rto,3
hlo,3
ura,3
eme,3
abo,3
hep,3
epo,3
pot,3
awa,3
rti,3
dri,3
vak,3
ves,3
ese,3
iya,3
tma,3
adl,3
dle,3
hto,3
erd,3
mel,3
ist,3
ror,3
dee,3
ubl,3
akl,3
ari,3
ula,3
ava,3
ide,3
anz,3
nzh,3
zol,3
elt,3
ndy,3
yab,3
luk,3
yuz,3
vik,3
kab,3
lez,3
ezh,3
erm,3
mir,3
nyh,3
agr,3
mih,3
eve,3
lyu,3
dko,3
pin,3
udi,3
vis,3
hug,3
lei,3
lki,3
erc,3
ubo,3
rya,3
ger,3
rol,3
ien,3
oso,3
abi,3
tru,3
erb,3
aho,3
opo,3
yam,3
rki,3
els,3
eno,3
zan,3
itz,3
rak,3
ubi,3
abu,3
lod,3
sak,3
dob,3
obr,3
ers,3
kun,3
ebe,3
mok,2
rou,2
ous,2
jud,2
bie,2
ovy,2
yad,2
adi,2
byl,2
ylo,2
unk,2
ure,2
ret,2
dam,2
ika,2
gel,2
ons,2
arh,2
rha,2
has,2
abd,2
ind,2
poh,2
eba,2
mur,2
mae,2
pav,2
gau,2
mev,2
vav,2
avk,2
vki,2
jav,2
jij,2
ozd,2
avd,2
avo,2
vor,2
jki,2
als,2
lav,2
usa,2
aln,2
ols,2
ric,2
cht,2
amu,2
bib,2
ibl,2
vir,2
kra,2
jit,2
tny,2
moj,2
jar,2
ntu,2
tof,2
mog,2
pir,2
raz,2
aum,2
roh,2
vsc,2
yat,2
hly,2
yst,2
stu,2
uri,2
ugu,2
sht,2
gar,2
til,2
gol,2
rot,2
jam,2
all,2
pis,2
rof,2
yse,2
san,2
red,2
nit,2
aib,2
ibu,2
jag,2
ibi,2
ene,2
avr,2
lba,2
dil,2
omu,2
yje,2
jen,2
agn,2
lai,2
lit,2
hun,2
uha,2
met,2
eto,2
mic,2
mul,2
uld,2
asy,2
bes,2
est,2
aya,2
nus,2
aus,2
ahm,2
ndz,2
nke,2
dev,2
ngo,2
jaf,2
ais,2
isf,2
sfe,2
rni,2
tro,2
hny,2
riy,2
ebk,2
khu,2
hus,2
kis,2
yki,2
usk,2
aih,2
hut,2
rih,2
hib,2
bla,2
alc,2
lch,2
ton,2
ont,2
vsy,2
lop,2
hur,2
rav,2
zel,2
mez,2
eid,2
udc,2
dch,2
ulk,2
ady,2
yro,2
otk,2
tki,2
wal,2
lis,2
rts,2
tsi,2
imy,2
myc,2
adr,2
rik,2
kul,2
apo,2
kae,2
aht,2
uki,2
kik,2
fin,2
rda,2
hme,2
tze,2
amy,2
gag,2
gem,2
arc,2
kac,2
awr,2
bik,2
ite,2
hmi,2
mis,2
mor,2
ord,2
rdo,2
lyk,2
jad,2
rek,2
eks,2
kla,2
asu,2
lic,2
nej,2
osc,2
one,2
vyr,2
yri,2
shv,2
orc,2
azi,2
rig,2
igo,2
aut,2
ven,2
khl,2
tam,2
muz,2
uzy,2
zit,2
jba,2
old,2
ova,2
ing,2
ibo,2
lyz,2
blo,2
uru,2
tko,2
afi,2
izo,2
dyu,2
anu,2
hat,2
pak,2
tsv,2
orn,2
rny,2
del,2
elm,2
lam,2
jat,2
bsk,2
poc,2
osy,2
lep,2
ema,2
mal,2
ald,2
ldi,2
jiv,2
ivl,2
vly,2
eht,2
rom,2
omy,2
tsu,2
emc,2
emo,2
ise,2
yah,2
nis,2
lab,2
zim,2
bri,2
pok,2
hna,2
naz,2
epi,2
aje,2
jeg,2
hor,2
odi,2
ugi,2
azo,2
any,2
oku,2
el',2
rub,2
sti,2
hub,2
tom,2
rog,2
anc,2
ugo,2
ine,2
ena,2
dah,2
fro,2
had,2
ime,2
men,2
rej,2
yap,2
par,2
gne,2
ner,2
luh,2
diy,2
tuk,2
ksi,2
gut,2
hap,2
far,2
ass,2
tie,2
dre,2
ars,2
lup,2
sni,2
ana,2
nak,2
vov,2
apa,2
lso,2
rja,2
tis,2
eff,2
tsa,2
tup,2
upi,2
lap,2
api,2
lip,2
ipo,2
gaf,2
zya,2
aif,2
ifu,2
dny,2
mon,2
des,2
irn,2
gru,2
dik,2
amo,2
ede,2
dya,2
yae,2
ovn,2
esh,2
tog,2
zhk,2
yaz,2
suh,2
kro,1
ilj,1
lja,1
nda,1
arb,1
rbi,1
tub,1
uby,1
emy,1
kas,1
mun,1
uni,1
arp,1
rpo,1
oge,1
ane,1
nek,1
asi,1
bdr,1
dra,1
moc,1
rif,1
ifk,1
fki,1
amc,1
ohl,1
jmi,1
aur,1
hoe,1
nso,1
lid,1
rtu,1
imc,1
riv,1
ihi,1
guj,1
uja,1
iji,1
guk,1
zde,1
det,1
mui,1
uij,1
ije,1
jel,1
vdu,1
olb,1
lbu,1
ryj,1
yjk,1
uhm,1
sal,1
anp,1
npo,1
gei,1
eit,1
ism,1
sma,1
niu,1
ius,1
avt,1
vto,1
egi,1
row,1
oja,1
awt,1
wto,1
ila,1
asp,1
spi,1
zyg,1
ygr,1
uma,1
zke,1
utu,1
tei,1
rys,1
tzo,1
zot,1
jek,1
pek,1
abb,1
bba,1
kum,1
umo,1
msu,1
sue,1
uev,1
sce,1
cet,1
eti,1
lla,1
voy,1
agd,1
gda,1
etz,1
edn,1
dni,1
bur,1
urs,1
gup,1
upe,1
pet,1
bis,1
ase,1
elb,1
jid,1
utn,1
lyj,1
uts,1
gni,1
niv,1
ivt,1
vts,1
ita,1
jik,1
urm,1
rmu,1
muh,1
ame,1
lda,1
das,1
uke,1
fom,1
erz,1
rzo,1
zon,1
tuj,1
uje,1
gai,1
nom,1
oma,1
jah,1
hay,1
dju,1
jun,1
unu,1
usl,1
sle,1
iby,1
ahc,1
hch,1
imu,1
ovk,1
ive,1
jol,1
olu,1
ude,1
jon,1
ong,1
fae,1
alg,1
lga,1
ozh,1
uch,1
rid,1
idn,1
dne,1
gef,1
eft,1
ftl,1
tle,1
iym,1
yma,1
gim,1
vst,1
tra,1
asl,1
sla,1
jvy,1
vyk,1
dac,1
chn,1
ihu,1
eir,1
nte,1
rku,1
kus,1
ngy,1
gya,1
tum,1
umi,1
tor,1
riz,1
izh,1
zhs,1
hsk,1
opk,1
pko,1
ben,1
enc,1
vko,1
inu,1
nun,1
una,1
elu,1
bdu,1
lka,1
kad,1
dyr,1
oll,1
llo,1
osu,1
lsh,1
htu,1
tut,1
ebt,1
bts,1
ryk,1
wak,1
shw,1
hwi,1
wil,1
gab,1
ska,1
kan,1
oka,1
dau,1
aug,1
uge,1
ntc,1
rap,1
rka,1
zhv,1
hvy,1
tiy,1
yar,1
bez,1
ezr,1
zru,1
rtm,1
hig,1
toe,1
tya,1
zek,1
amb,1
mbe,1
ajo,1
jog,1
mei,1
eis,1
ste,1
res,1
sea,1
ear,1
wro,1
edi,1
dis,1
pit,1
hod,1
odu,1
dun,1
azu,1
zul,1
zeh,1
ehm,1
tre,1
aly,1
fad,1
eec,1
ech,1
bli,1
heb,1
ebl,1
bly,1
kse,1
awi,1
win,1
emp,1
mpl,1
ple,1
amg,1
mgu,1
ris,1
iso,1
sul,1
idu,1
eji,1
dos,1
vah,1
did,1
jir,1
abk,1
zie,1
ria,1
iad,1
fis,1
isu,1
sun,1
lyc,1
hlu,1
lul,1
ulz,1
lza,1
zad,1
mys,1
oji,1
ejd,1
jda,1
zyc,1
hka,1
tev,1
dij,1
ijb,1
ldo,1
lti,1
nim,1
und,1
dyk,1
nib,1
now,1
usi,1
ban,1
elv,1
lva,1
haf,1
fiz,1
otr,1
uzv,1
zvi,1
nuk,1
vok,1
sva,1
vyb,1
ybo,1
lma,1
arl,1
rla,1
amp,1
mpo,1
tzu,1
zub,1
lok,1
abs,1
alt,1
ltm,1
zai,1
hem,1
elk,1
lkh,1
ske,1
beh,1
myk,1
sub,1
nez,1
ezn,1
zna,1
nan,1
zdk,1
ndj,1
djy,1
jya,1
ose,1
alp,1
lpe,1
per,1
lts,1
gac,1
bar,1
uem,1
ngu,1
joh,1
dji,1
jis,1
pyp,1
ypi,1
lil,1
myh,1
yha,1
iho,1
rde,1
imn,1
mnu,1
nuh,1
anj,1
nji,1
eki,1
khs,1
hsh,1
hie,1
fab,1
iks,1
kst,1
zei,1
eif,1
ife,1
fer,1
evl,1
vlo,1
aru,1
khv,1
isn,1
sne,1
tob,1
sty,1
tyr,1
yre,1
haj,1
ego,1
get,1
etm,1
ivs,1
vsh,1
eib,1
sho,1
ekm,1
kme,1
ezo,1
egu,1
shm,1
ree,1
god,1
igu,1
gus,1
nes,1
sis,1
jug,1
tst,1
sta,1
tav,1
avn,1
vno,1
huh,1
shn,1
ild,1
lde,1
rno,1
pro,1
kur,1
mud,1
l'k,1
'ko,1
yud,1
doc,1
tsy,1
syk,1
lak,1
ihn,1
hne,1
oby,1
bys,1
lar,1
irs,1
yut,1
vli,1
lio,1
iov,1
hih,1
ely,1
deu,1
eul,1
roe,1
kot,1
ahn,1
nop,1
opr,1
don,1
ebs,1
adk,1
dke,1
ata,1
taz,1
dud,1
ejk,1
app,1
ppa,1
ija,1
zhd,1
hda,1
mad,1
yzo,1
kit,1
vag,1
loz,1
ozi,1
vdi,1
iys,1
ysk,1
dei,1
ngi,1
sac,1
muj,1
ujk,1
jka,1
ate,1
lia,1
ias,1
shb,1
hbe,1
ltu,1
zat,1
zhg,1
hgu,1
apt,1
pta,1
tah,1
sse,1
rbu,1
eiv,1
vim,1
eby,1
bya,1
ati,1
ndr,1
rey,1
eya,1
dop,1
roj,1
ojj,1
jji,1
zyr,1
okm,1
kma,1
udk,1
eik,1
lyg,1
ygi,1
vys,1
yso,1
sot,1
atn,1
tnu,1
inr,1
nru,1
upp,1
ppi,1
pia,1
ian,1
div,1
pah,1
esn,1
iry,1
ryu,1
uzo,1
ekt,1
kti,1
kav,1
yuf,1
ufi,1
fit,1
ote,1
osk,1
nah,1
ahu,1
kly,1
pae,1
tit,1
inn,1
nnu,1
nul,1
imb,1
mbu,1
bul,1
ulg,1
lgi,1
ihl,1
hli,1
ubn,1
bny,1
era,1
ask,1
tzn,1
zne,1
nel,1
tos,1
awd,1
wdy,1
dim,1
nok,1
nn-,1
n-k,1
-ka,1
kay,1
ay-,1
y-s,1
-si,1
hau,1
rag,1
peh,1
aml,1
mlo,1
rne,1
udj,1
jab,1
bid,1
idz,1
sep,1
epk,1
pki,1
asn,1
kie,1
ief,1
uzs,1
zsk,1
alm,1
lmy,1
yas,1
zyl,1
yle,1
gad,1
dae,1
pai,1
aiv,1
ksh,1
sar,1
rit,1
ruj,1
uji,1
ahv,1
hva,1
ekl,1
kle,1
ovg,1
vga,1
aiz,1
ize,1
zer,1
mos,1
rba,1
edr,1
dat,1
anb,1
nba,1
avz,1
vza,1
lal,1
orz,1
rzh,1
nty,1
yug,1
osi,1
sik,1
hef,1
buz,1
uza,1
zil,1
loi,1
oit,1
tzy,1
loc,1
doj,1
oje,1
ful,1
odn,1
fio,1
ion,1
erj,1
vad,1
adn,1
die,1
ejn,1
jni,1
ldr,1
rei,1
eih,1
onn,1
esc,1
sya,1
ril,1
reh,1
ehb,1
hbi,1
voz,1
ozg,1
zgo,1
llu,1
usc,1
dyj,1
jet,1
heh,1
ehl,1
iku,1
rbe,1
nti,1
eng,1
ngv,1
gve,1
khe,1
fut,1
pyr,1
yrk,1
kso,1
enf,1
nfe,1
ldt,1
aji,1
jig,1
iga,1
evr,1
aze,1
zen,1
jal,1
ubc,1
bch,1
bus,1
use,1
moh,1
bac,1
iru,1
vne,1
nys,1
noc,1
rez,1
ezi,1
zae,1
svi,1
ilg,1
lgn,1
khr,1
hra,1
moi,1
ois,1
isi,1
lyt,1
ytk,1
ogu,1
msc,1
jov,1
vni,1
nir,1
toi,1
oie,1
top,1
nic,1
omj,1
mje,1
rsh,1
bru,1
nif,1
ifa,1
fat,1
ull,1
lli,1
mof,1
jgu,1
gib,1
iba,1
lof,1
ome,1
adj,1
mit,1
oke,1
nag,1
odk,1
azm,1
zmi,1
ilk,1
loh,1
ohv,1
kos,1
sof,1
gmu,1
ovl,1
olk,1
lah,1
how,1
los,1
oly,1
dur,1
utc,1
sap,1
blu,1
ola,1
lan,1
ndi,1
mer,1
erh,1
hta,1
tad,1
nyu,1
uht,1
ina,1
nav,1
l'n,1
'ny,1
ilm,1
lmo,1
yaj,1
onu,1
ait,1
iti,1
tod,1
odr,1
bed,1
pie,1
iet,1
isl,1
slo,1
bok,1
oko,1
hah,1
gay,1
rsc,1
chc,1
hco,1
cov,1
zag,1
juj,1
ujl,1
jle,1
fil,1
vep,1
epr,1
pre,1
ami,1
jmo,1
mot,1
oto,1
olt,1
lto,1
iln,1
bos,1
ogr,1
rad,1
ads,1
dsk,1
kon,1
dak,1
var,1
arg,1
rge,1
gev,1
rho,1
ors,1
niz,1
wra,1
amt,1
mtc,1
tuh,1
arm,1
maz,1
ike,1
alb,1
ort,1
rtn,1
adt,1
dts,1
hag,1
eru,1
ruh,1
iky,1
ivo,1
nyr,1
yrt,1
aja,1
jae,1
uly,1
bei,1
edo,1
doh,1
ake,1
ker,1
edy,1
ery,1
atk,1
ibk,1
but,1
vaz,1
upa,1
pal,1
zak,1
jeb,1
ebr,1
ore,1
lmu,1
